Points,Edges,Area,Perimeter,Contact_perimeter,TETRAPIXEL,Euler_General_4_Async
4219,5453,1700,4106,1347,113,466
4201,5412,1683,4092,1320,109,472
3491,4214,1243,3456,758,35,520
4240,8303,3937,858,7445,3382,-126
4278,8251,3738,1550,6701,2728,-235
714,733,188,714,19,0,169
4572,6910,2446,4036,2874,536,108
4436,6225,2070,4170,2055,266,281
4298,5911,1935,4082,1829,216,322
3825,4770,1442,3772,998,53,497
4481,7551,2931,3378,4173,1103,-139
4305,8167,3606,1910,6257,2395,-256
3154,3645,1037,3142,503,12,546
4523,6944,2480,3968,2976,555,59
4215,5647,1807,4066,1581,149,375
3449,4144,1218,3416,728,33,523
4481,7660,2989,3364,4296,1117,-190
4387,7875,3247,2762,5113,1625,-241
4375,7956,3307,2684,5272,1691,-274
4548,7066,2544,3956,3110,592,26
3721,4622,1392,3676,946,45,491
3717,4595,1386,3646,949,71,508
4270,8220,3720,1560,6660,2710,-230
2724,3039,840,2718,321,6,525
3927,4980,1526,3856,1124,71,473
3762,4619,1382,3710,909,52,525
4572,7081,2545,3982,3099,590,36
3805,4696,1411,3748,948,57,520
4545,6777,2358,4122,2655,423,126
4493,6503,2213,4154,2349,339,203
4542,6946,2468,4020,2926,522,64
4476,6503,2220,4126,2377,350,193
4441,6522,2242,4076,2446,365,161
4346,5995,1969,4114,1881,232,320
1827,1933,510,1826,107,1,404
4445,6409,2174,4122,2287,323,210
4303,8189,3642,1810,6379,2493,-244
120,120,30,120,0,0,30
4207,5571,1773,4050,1521,157,409
2819,3217,906,2810,407,9,508
4558,6862,2408,4092,2770,466,104
3906,4955,1520,3830,1125,76,471
4490,7145,2616,3826,3319,664,-39
4211,5613,1794,4050,1563,161,392
3878,4872,1485,3804,1068,74,491
4527,7527,2874,3558,3969,969,-126
4444,7884,3189,3012,4872,1432,-251
4331,6051,1999,4106,1945,225,279
4339,8124,3537,2100,6024,2239,-248
3486,4106,1186,3468,638,18,566
4163,5506,1744,4036,1470,127,401
4519,7644,2957,3460,4184,1059,-168
4509,6521,2222,4154,2367,355,210
4528,7274,2693,3776,3498,752,-53
16,16,4,16,0,0,4
3201,3749,1078,3186,563,15,530
4580,7103,2547,4018,3085,562,24
4493,6570,2254,4124,2446,369,177
4541,6465,2167,4262,2203,279,243
4495,7729,3043,3286,4443,1209,-191
4372,8080,3426,2456,5624,1916,-282
4268,8252,3790,1344,6908,2924,-194
4388,6156,2047,4124,2032,264,279
3273,3834,1104,3252,582,21,543
4027,5144,1592,3920,1224,107,475
4510,7028,2537,3908,3120,602,19
4441,7860,3175,3020,4840,1421,-244
2745,3132,882,2736,396,9,495
2218,2449,671,2214,235,4,440
921,954,247,920,34,1,214
3421,4113,1210,3386,727,35,518
4136,5410,1703,4008,1402,128,429
2539,2848,791,2532,316,7,482
4429,7903,3221,2922,4981,1507,-253
4330,6046,2003,4080,1966,250,287
4424,6082,1990,4204,1878,220,332
4231,8302,3989,648,7654,3583,-82
4529,7028,2526,3952,3076,577,27
4561,7294,2685,3848,3446,713,-48
4462,7513,2889,3470,4043,992,-162
3809,4754,1441,3744,1010,65,496
4388,6078,1994,4180,1898,208,304
1824,1949,519,1822,127,2,394
4563,6681,2297,4174,2507,389,179
4366,8050,3420,2420,5630,1946,-264
528,534,135,528,6,0,129
4350,8051,3415,2442,5609,1908,-286
4352,5885,1900,4170,1715,182,367
2636,2958,822,2628,330,8,500
4076,5289,1652,3970,1319,106,439
4396,7908,3261,2772,5136,1624,-251
2727,3051,845,2722,329,5,521
4541,7272,2684,3808,3464,733,-47
3366,3981,1156,3338,643,28,541
4403,8010,3336,2676,5334,1727,-271
4354,6145,2045,4110,2035,244,254
4471,6740,2378,3968,2772,503,109
3921,4916,1493,3860,1056,61,498
2757,3112,868,2752,360,5,513
4468,6901,2463,3950,2951,518,30
4505,7608,2938,3464,4144,1041,-165
872,892,228,872,20,0,208
3421,4019,1158,3406,613,15,560
3882,4895,1498,3798,1097,84,485
4368,6097,2013,4142,1955,226,284
4234,8310,3974,724,7586,3510,-102
4455,7807,3131,3090,4717,1365,-221
2187,2392,650,2184,208,3,445
3679,4499,1341,3634,865,45,521
4150,5413,1702,4018,1395,132,439
4369,5885,1893,4198,1687,171,377
4300,5780,1857,4132,1648,168,377
4473,7721,3055,3222,4499,1251,-193
3621,4354,1280,3588,766,33,547
1226,1275,331,1226,49,0,282
1587,1671,439,1586,85,1,355
4377,7991,3340,2622,5369,1755,-274
4374,6197,2069,4118,2079,256,246
3036,3543,1017,3018,525,18,510
3912,4975,1530,3830,1145,82,467
4270,5667,1803,4122,1545,148,406
4274,5783,1864,4110,1673,164,355
3473,4203,1244,3430,773,43,514
1132,1180,307,1132,48,0,259
4231,8312,3998,632,7680,3599,-83
