Pattern 1,Pattern 2,Pattern 3,Pattern 4,Pattern 5,Pattern 6,Pattern 7,Pattern 8,Pattern 9,Pattern 10,Pattern 11,Pattern 12,Pattern 13,Pattern 14,Pattern 15,Pattern 16,Faces_8_Async
59,57,64,89,72,52,66,61,65,66,52,68,73,76,69,100,1669
12,19,16,60,19,48,30,101,19,34,51,94,57,97,101,331,1973
844,55,56,6,56,3,2,0,55,3,3,0,6,0,0,0,259
48,57,60,64,60,67,55,75,47,60,77,73,74,73,65,134,1717
284,114,120,41,112,52,44,14,117,40,41,24,46,16,17,7,1057
198,110,113,50,113,46,52,33,105,54,51,34,55,34,28,13,1240
44,54,52,62,54,67,53,86,51,46,72,91,63,93,83,118,1747
20,30,33,55,31,61,34,96,32,35,57,98,55,96,98,258,1898
54,60,62,66,66,60,51,78,65,65,59,66,57,70,83,127,1696
4,12,11,31,12,35,13,90,12,17,36,85,30,86,90,525,2057
130,85,92,65,98,57,62,47,87,70,61,46,57,52,49,31,1436
51,61,48,63,45,64,69,89,51,62,71,83,76,80,79,97,1734
339,124,113,37,117,30,35,19,118,30,40,13,39,17,13,5,955
802,62,64,7,62,6,3,1,61,4,5,2,10,0,0,0,311
208,103,101,51,103,58,53,29,103,43,60,37,49,39,29,23,1243
110,89,77,76,84,55,69,47,88,55,63,49,70,56,46,55,1488
222,111,96,50,100,65,56,28,109,46,71,23,48,27,26,11,1201
26,44,27,78,43,61,54,92,40,47,81,82,66,98,88,162,1829
1,3,3,31,4,29,2,33,4,1,29,34,29,35,34,817,2103
24,31,27,76,34,61,64,92,35,60,64,92,65,99,96,169,1870
23,32,33,69,31,67,41,90,37,33,60,99,66,97,95,216,1868
47,49,49,53,42,70,54,93,51,59,61,88,58,81,95,139,1772
426,108,107,35,105,32,31,10,106,30,32,10,39,8,8,2,831
2,17,16,34,17,45,23,97,14,15,49,104,36,105,94,421,2028
77,84,76,71,79,52,63,67,80,60,59,62,72,65,63,59,1578
212,106,109,45,108,62,52,28,106,53,61,30,46,29,28,14,1218
37,45,48,74,52,67,50,82,48,55,68,80,67,84,85,147,1773
33,54,51,55,45,73,44,92,54,51,67,82,61,76,92,159,1780
210,104,93,55,90,55,56,36,102,47,54,34,60,31,34,28,1257
1061,7,7,0,7,0,0,0,7,0,0,0,0,0,0,0,28
3,13,11,34,11,39,9,85,14,8,38,84,33,84,86,537,2051
238,121,110,52,112,39,50,25,117,38,45,26,54,28,21,13,1147
80,66,69,80,75,70,68,59,69,79,73,51,71,57,62,60,1592
365,121,110,32,106,43,33,16,117,24,43,14,40,10,12,3,915
27,46,42,70,38,65,55,92,50,57,57,86,70,82,96,156,1817
7,21,22,35,17,50,29,114,14,43,52,101,47,96,107,334,1998
456,117,124,21,124,22,18,5,117,25,22,5,21,5,5,2,741
75,71,71,69,83,53,73,61,75,64,61,70,53,82,65,63,1610
50,75,68,67,73,67,57,78,73,56,74,72,64,77,76,62,1653
60,53,58,57,57,82,60,69,55,56,79,78,56,77,71,121,1698
9,25,24,38,17,52,27,106,26,26,44,106,44,99,107,339,1979
0,3,2,33,3,28,0,29,2,2,30,26,33,27,28,843,2106
27,43,51,58,39,78,52,86,46,48,63,98,67,86,89,158,1812
4,15,10,41,13,40,14,103,13,19,45,93,40,96,101,442,2036
52,48,44,76,45,52,61,91,47,59,54,89,76,90,90,115,1761
78,67,69,64,67,75,69,59,77,62,63,68,56,66,69,80,1613
115,90,92,59,83,73,51,54,89,55,65,52,69,43,53,46,1461
84,80,85,67,75,61,59,65,76,62,55,67,81,57,61,54,1562
1,8,7,31,9,35,10,78,6,12,39,75,31,77,76,594,2078
122,84,96,66,95,72,59,40,93,60,62,51,58,50,49,32,1437
340,109,123,39,116,40,29,15,112,39,30,19,43,12,18,5,962
398,121,112,26,107,30,41,11,116,33,30,10,36,5,6,7,865
657,84,83,12,81,17,17,2,84,14,15,4,14,2,2,1,503
1,3,2,30,3,29,0,23,1,0,32,22,31,23,21,868,2106
114,74,80,66,87,70,58,56,72,72,79,48,61,55,54,43,1499
135,99,88,61,96,48,74,44,95,67,60,40,57,48,40,37,1417
6,22,22,47,22,51,26,96,24,24,49,98,45,98,98,361,1980
16,31,21,55,30,41,25,109,26,39,55,85,51,94,104,307,1937
60,56,59,59,55,61,62,79,56,60,57,84,63,80,79,119,1712
3,16,19,61,16,48,19,100,18,31,43,91,62,88,102,372,1996
41,58,50,59,54,73,42,87,48,45,87,76,65,80,77,147,1744
247,115,106,68,115,33,54,18,117,46,40,17,57,26,20,10,1132
133,103,97,54,103,68,58,38,107,52,70,38,44,44,42,38,1384
231,109,98,62,112,55,54,18,118,47,60,14,39,28,27,17,1171
13,26,23,52,26,51,30,99,27,31,53,95,48,98,100,317,1948
27,34,37,55,39,58,42,100,29,44,65,101,58,103,95,202,1867
1053,9,9,0,9,0,0,0,9,0,0,0,0,0,0,0,36
51,53,50,74,56,68,54,83,57,59,70,75,64,81,87,107,1722
48,53,57,78,63,58,51,76,58,55,59,76,67,82,81,127,1720
108,89,102,60,92,64,61,50,89,74,54,50,70,40,50,36,1466
1089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,117,120,49,119,36,47,9,122,44,30,15,45,14,14,5,1014
126,88,88,54,81,80,50,51,95,47,66,54,54,47,58,50,1447
44,58,56,66,50,76,49,86,48,43,80,90,82,84,76,101,1726
876,47,47,7,46,3,3,0,49,2,0,1,6,0,2,0,229
80,74,73,69,73,66,57,66,78,56,62,66,65,66,70,68,1589
31,54,45,62,44,65,74,84,48,58,70,91,69,90,78,126,1792
10,20,24,43,17,54,36,108,14,39,53,109,56,102,102,302,1980
6,14,16,45,14,50,21,91,18,19,44,95,43,93,95,425,2013
9,17,16,55,11,36,30,105,14,26,34,108,63,103,102,360,2008
255,109,106,46,101,59,46,25,109,38,54,30,51,25,25,10,1138
1041,12,12,0,12,0,0,0,12,0,0,0,0,0,0,0,48
31,40,51,60,48,63,55,84,44,51,56,99,59,96,88,164,1814
63,66,68,68,60,73,62,74,69,57,62,81,73,73,77,63,1651
690,83,84,10,84,8,12,1,83,13,8,1,10,1,1,0,446
121,93,79,72,76,57,68,51,94,55,53,50,74,47,52,47,1466
24,22,26,54,25,47,45,96,24,38,44,107,53,106,98,280,1934
14,20,25,50,21,57,20,102,22,31,51,96,52,92,104,332,1957
355,115,109,34,113,40,42,12,112,34,47,14,33,18,9,2,942
156,102,96,70,112,40,48,42,96,49,62,35,60,51,36,34,1344
199,98,111,54,108,63,45,30,102,55,56,33,53,30,34,18,1248
241,111,106,65,104,43,47,26,118,41,34,27,60,25,33,8,1156
140,92,90,63,92,69,49,48,89,49,74,46,64,48,45,31,1400
