N0,N1,N2,Volume,Enclosing_surface,Contact_surface,TETRAVOXEL,OCTOVOXEL,MISC_Async
753,1933,1522,376,788,734,357,33,-34.0
861,1815,1198,253,878,320,59,1,-9.0
843,1892,1303,284,902,401,88,1,-30.0
863,1742,1117,231,848,269,46,1,7.0
724,1266,726,137,630,96,6,0,47.0
757,1927,1492,362,812,680,303,25,-40.0
578,975,543,100,486,57,3,0,46.0
813,1939,1401,318,894,507,151,5,-43.0
816,1865,1314,293,870,444,125,2,-28.0
88,132,66,11,66,0,0,0,11.0
808,1456,858,166,720,138,16,0,44.0
801,1623,1039,214,794,245,35,1,3.0
280,432,222,38,216,6,0,0,32.0
380,588,303,52,294,9,0,0,43.0
866,1704,1081,223,824,257,56,2,20.0
759,1942,1508,366,820,688,302,21,-41.0
817,1970,1456,339,878,578,214,11,-36.0
818,1505,898,175,746,152,13,0,36.0
826,1936,1404,322,876,528,184,6,-28.0
790,1443,854,165,718,136,7,0,36.0
859,1722,1106,230,832,274,58,1,13.0
722,1291,751,143,644,107,3,0,39.0
827,1846,1266,275,882,384,82,1,-28.0
842,1909,1353,305,876,477,157,4,-19.0
823,1758,1175,251,844,331,70,1,-11.0
638,1119,642,121,558,84,3,0,40.0
743,1912,1534,387,746,788,420,41,-22.0
846,1755,1154,244,844,310,67,0,1.0
416,652,340,59,326,14,0,0,45.0
726,1951,1612,416,728,884,495,56,-29.0
824,1708,1108,230,836,272,36,0,-6.0
739,1970,1629,423,720,909,530,69,-25.0
843,1754,1154,244,844,310,66,1,-1.0
826,1399,781,144,698,83,3,0,64.0
794,1457,868,169,722,146,13,0,36.0
727,1944,1722,501,438,1284,1068,281,4.0
656,1126,635,118,562,73,2,0,47.0
731,1932,1588,410,716,872,500,61,-23.0
811,1876,1334,300,868,466,140,5,-31.0
768,1938,1500,365,810,690,318,28,-35.0
799,1536,952,192,752,200,32,1,23.0
774,1379,804,154,684,120,11,0,45.0
878,1877,1255,268,902,353,73,0,-12.0
853,1823,1224,263,870,354,83,1,-9.0
787,1822,1293,290,846,447,130,5,-32.0
766,1415,850,167,698,152,19,0,34.0
758,1899,1472,359,790,682,319,24,-28.0
869,1866,1259,272,886,373,94,3,-10.0
786,2002,1553,377,844,709,314,22,-40.0
836,1768,1174,250,848,326,72,4,-8.0
739,1960,1631,427,700,931,560,73,-17.0
758,1963,1559,388,790,769,383,36,-34.0
862,1623,990,197,798,192,27,0,32.0
788,1436,849,164,714,135,8,0,37.0
852,1664,1041,211,816,225,32,0,18.0
850,1773,1158,242,864,294,45,0,-7.0
849,1737,1128,236,840,288,57,1,4.0
887,1796,1158,241,870,288,56,1,8.0
